frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
7.37,12,12,0,0,0,0,0,0,0,11,0,0,0
6.50,12,12,0,0,0,0,0,0,0,11,0,0,0
7.22,12,12,0,0,0,0,0,0,0,11,0,0,0
6.70,12,12,0,0,0,0,0,0,0,11,0,0,0
10.81,15,15,0,0,0,0,0,0,0,14,0,0,0
5.21,15,15,0,0,0,0,0,0,0,14,0,0,0
6.56,15,15,0,0,0,0,0,0,0,14,0,0,0
8.30,15,15,0,0,0,0,0,0,0,14,0,0,0
6.43,15,15,0,0,0,0,0,0,0,14,0,0,0
6.91,15,15,0,0,0,0,0,0,0,14,0,0,0
7.86,15,15,0,0,0,0,0,0,0,14,0,0,0
7.39,15,15,0,0,0,0,0,0,0,14,0,0,0
6.77,15,15,0,0,0,0,0,0,0,14,0,0,0
7.13,15,15,0,0,0,0,0,0,0,14,0,0,0
7.54,15,15,0,0,0,0,0,0,0,14,0,0,0
6.96,15,15,0,0,0,0,0,0,0,14,0,0,0
6.93,15,15,0,0,0,0,0,0,0,14,0,0,0
7.36,15,15,0,0,0,0,0,0,0,14,0,0,0
8.77,15,15,0,0,0,0,0,0,0,14,0,0,0
6.80,15,15,0,0,0,0,0,0,0,14,0,0,0
7.71,15,15,0,0,0,0,0,0,0,14,0,0,0
7.16,15,15,0,0,0,0,0,0,0,14,0,0,0
7.09,15,15,0,0,0,0,0,0,0,14,0,0,0
6.67,15,15,0,0,0,0,0,0,0,14,0,0,0
7.70,15,15,0,0,0,0,0,0,0,14,0,0,0
6.49,15,15,0,0,0,0,0,0,0,14,0,0,0
7.40,15,15,0,0,0,0,0,0,0,14,0,0,0
7.80,15,15,0,0,0,0,0,0,0,14,0,0,0
6.54,15,15,0,0,0,0,0,0,0,14,0,0,0
7.16,15,15,0,0,0,0,0,0,0,14,0,0,0
7.25,15,15,0,0,0,0,0,0,0,14,0,0,0
7.99,15,15,0,0,0,0,0,0,0,14,0,0,0
6.49,15,15,0,0,0,0,0,0,0,14,0,0,0
7.62,15,15,0,0,0,0,0,0,0,14,0,0,0
7.99,15,15,0,0,0,0,0,0,0,14,0,0,0
7.79,15,15,0,0,0,0,0,0,0,14,0,0,0
6.69,15,15,0,0,0,0,0,0,0,14,0,0,0
6.87,15,15,0,0,0,0,0,0,0,14,0,0,0
7.54,15,15,0,0,0,0,0,0,0,14,0,0,0
6.78,15,15,0,0,0,0,0,0,0,14,0,0,0
7.15,15,15,0,0,0,0,0,0,0,14,0,0,0
7.06,15,15,0,0,0,0,0,0,0,14,0,0,0
6.92,15,15,0,0,0,0,0,0,0,14,0,0,0
6.82,15,15,0,0,0,0,0,0,0,14,0,0,0
7.11,15,15,0,0,0,0,0,0,0,14,0,0,0
6.87,15,15,0,0,0,0,0,0,0,14,0,0,0
7.20,15,15,0,0,0,0,0,0,0,14,0,0,0
7.34,15,15,0,0,0,0,0,0,0,14,0,0,0
6.97,15,15,0,0,0,0,0,0,0,14,0,0,0
7.63,15,15,0,0,0,0,0,0,0,14,0,0,0
6.66,15,15,0,0,0,0,0,0,0,14,0,0,0
7.30,15,15,0,0,0,0,0,0,0,14,0,0,0
7.23,15,15,0,0,0,0,0,0,0,14,0,0,0
8.01,15,15,0,0,0,0,0,0,0,14,0,0,0
6.65,15,15,0,0,0,0,0,0,0,14,0,0,0
6.85,15,15,0,0,0,0,0,0,0,14,0,0,0
8.54,15,15,0,0,0,0,0,0,0,14,1,0,0
6.52,15,15,0,0,0,0,0,0,0,14,0,0,0
6.96,15,15,0,0,0,0,0,0,0,14,0,0,0
7.00,15,15,0,0,0,0,0,0,0,14,0,0,0
8.80,15,15,0,0,0,0,0,0,0,14,0,0,0
6.87,15,15,0,0,0,0,0,0,0,14,0,0,0
7.00,15,15,0,0,0,0,0,0,0,14,0,0,0
6.67,15,15,0,0,0,0,0,0,0,14,0,0,0
7.65,15,15,0,0,0,0,0,0,0,14,0,0,0
7.03,15,15,0,0,0,0,0,0,0,14,0,0,0
6.76,15,15,0,0,0,0,0,0,0,14,0,0,0
7.06,15,15,0,0,0,0,0,0,0,14,0,0,0
6.85,15,15,0,0,0,0,0,0,0,14,0,0,0
