CORNERSNAP-RESOLVE: frame 2107 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2108 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2109 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2110 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2111 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2112 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2113 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2114 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2115 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2116 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2117 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2118 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2119 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2120 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2121 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2122 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2123 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2124 obj 1068034708 rewind (-11.000,-0.875,1.625)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2125 obj 1068034708 rewind (-11.008,-0.880,1.634)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2126 obj 1068034708 rewind (-11.014,-0.883,1.641)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2127 obj 1068034708 rewind (-11.017,-0.885,1.644)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2128 obj 1068034708 rewind (-11.019,-0.886,1.647)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2129 obj 1068034708 rewind (-11.021,-0.887,1.649)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2130 obj 1068034708 rewind (-11.021,-0.887,1.649)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2131 obj 1068034708 rewind (-11.026,-0.890,1.654)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2132 obj 1068034708 rewind (-11.029,-0.892,1.658)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2133 obj 1068034708 rewind (-11.031,-0.893,1.660)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2134 obj 1068034708 rewind (-11.033,-0.894,1.663)->(-11.034,-0.895,1.664) waypoints 2
CORNERSNAP-RESOLVE: frame 2758 obj 1068034708 rewind (-9.954,-0.895,2.389)->(-10.017,-0.895,2.381) waypoints 2
CORNERSNAP-RESOLVE: frame 2759 obj 1068034708 rewind (-9.892,-0.895,2.402)->(-9.955,-0.895,2.394) waypoints 2
CORNERSNAP-RESOLVE: frame 2760 obj 1068034708 rewind (-9.830,-0.895,2.416)->(-9.893,-0.895,2.408) waypoints 2
CORNERSNAP-RESOLVE: frame 2761 obj 1068034708 rewind (-9.767,-0.895,2.430)->(-9.831,-0.895,2.422) waypoints 2
CORNERSNAP-RESOLVE: frame 2762 obj 1068034708 rewind (-9.708,-0.895,2.443)->(-9.768,-0.895,2.436) waypoints 2
CORNERSNAP-RESOLVE: frame 2763 obj 1068034708 rewind (-9.647,-0.895,2.457)->(-9.710,-0.895,2.449) waypoints 2
